Species Skull_length Pitarea Lifestyle
Adamantinasuchus_navae 53 NA NA
Anatosuchus_minor 142 0.2124 1
Aphaurosuchus_escharafacies 350 0 1
Aplestosuchus_sordidus 332 0 1
Araripesuchus_buitreraensis 140 NA NA
Araripesuchus_gomesii 82 NA NA
Araripesuchus_patagonicus 80 NA NA
Araripesuchus_tsangatsangana 88 NA NA
Araripesuchus_wegeneri 126 0.1459 1
Araripesuchus_rattoides NA NA NA
Armadillosuchus_arrudai 260 NA NA
Barinasuchus_arveloi 900 NA NA
Barrosasuchus_neuquenianus 380 0.1097 1
Baurusuchus_albertoi 311 0 1
Baurusuchus_pachecoi 364 0 1
Baurusuchus_salgadoensis 450 NA NA
Bretesuchus_bonapartei 540 NA NA
Caipirasuchus_montealtensis 153 0.0493 1
Caipirasuchus_paulistanus 147 0 1
Caipirasuchus_stenognathus 140 NA NA
Campinasuchus_dinizi 290 0 1
Candidodon_itapecuruense 79 NA NA
Comahuesuchus_brachybuccalis 105 NA NA
Gasparinisuchus_peirosauroides 322 NA NA
Gondwanasuchus_scabrosus 115 NA NA
Hamadasuchus_rebouli 318 NA NA
Libycosuchus_brevirostris 200 NA NA
Lomasuchus_palpebrosus 280 NA NA
Lorosuchus_nodosus 212 NA NA
Malawisuchus_mwakasyungutiensis 70 0 1
Mariliasuchus_amarali 97 0.0168 1
Montealtosuchus_arrudacamposi 235 0.1478 1
Morrinhosuchus_luziae 92 NA NA
Notosuchus_terrestris 127 0 1
Ogresuchus_furatus 100 NA NA
Pakasuchus_kapilimai 70 0 1
Pissarrachampsa_sera 251 NA NA
Sahitisuchus_fluminensis 266 NA NA
Sebecus_icaeorhinus 400 NA NA
Simosuchus_clarki 110 0 1
Sphagesaurus_huenei 95 NA NA
Stratiotosuchus_maxhechti 446 NA NA
Uberabasuchus_terrificus 312 NA NA
Uruguaysuchus_aznarezi 130 NA NA
Yacarerani_boliviensis 101 NA NA
Zulmasuchus_querejazui 610 0 1
Pepesuchus_deiseae 386 0.3229 0
Itasuchus_jesuinoi 370 0.0915 0
Caiman_sp NA 0.1757 0
Caiman_crocodilus 134 0.1244 0
Osteolaemus_tetrapsis 143 0.3394 0
Deinosuchus_hatcheri NA 0.1853 0
Argochampsa_krebsi 363 0.1308 0
Pholidosaurus_purbeckensis 424 0.2391 0
Crocodylus_acutus 360 0.1505 0
Iberosuchus_sp NA 0.1443 1
Stolokrosuchus_lapparenti NA NA NA
Rukwasuchus_yajabalijekundu NA NA NA
Bayomesasuchus_hernandezi NA NA NA
Lavocatchampsa_sigogneaurussellae NA NA NA
Kinesuchus_overoi NA NA NA
Colhuehuapisuchus_lunai NA NA NA
Kaprosuchus_saharicus NA NA NA
Mahajangasuchus_insignis NA NA NA	
Caririsuchus_camposi NA NA NA
Barreirosuchus_franciscoi NA NA NA
Llanosuchus_tamaensis NA NA NA
Labidiosuchus_amicum NA NA NA
Caryonosuchus_pricei NA NA NA
Chimaerasuchus_paradoxus NA NA NA
Pehuenchesuchus_enderi NA NA NA
Cynodontosuchus_rothi NA NA NA
Wargosuchus_australis NA NA NA
Doratodon_carcharidens NA NA NA
Doratodon_ibericus NA NA NA
Eremosuchus_elkoholicus NA NA NA
Bergisuchus_sp NA 0 1
Ayllusuchus_fernandezi NA NA NA
Sebecus_huilensis NA NA NA
Dyrosaurus_sp NA 0.1566 0
Barcinosuchus_gradilis NA NA NA 
Guarinisuchus_sp NA 0.0681 0
Shamosuchus_djadochtaensis NA 0.1233 0
Kansajsuchus_extensus NA 0.2702 0
Congosaurus_bequaerti NA 0.1663 0
Crocodylus_siamensis NA 0.2248 0
Pachycheilosuchus_trinquei NA 0.2538 0
Bottosaurus_tuberculatus NA 0.2009 0
Peirosaurus_torminni NA NA NA
Pabwehshi_pakistanensis NA NA NA
